Accession,Female_Parent,Male_Parent,Cross_Type
CP17-4806,CPCL97-2730,CP07-2547,biparental
CP17-4813,CP09-1874,CP07-2547,
CP17-4830,CP09-1874,CP07-2547,
CP18-1038,CP08-2506,CP92-1167,
CP18-1129,CP06-2897,CP01-2390,
CP18-1224,CP06-2897,CP11-1314,
CP18-1486,GA59-0024,CP11-1314,
CP18-1519,CP06-2897,CP08-1183,
CP18-1580,CP10-2002,CP06-2400,
CP18-1586,CP08-1995,CP06-2400,
CP18-1590,CP08-1995,CP06-2400,
CP18-1591,CP08-1995,CP06-2400,biparental
CP18-1606,CP10-2002,CP11-1314,
CP18-1680,CP10-2002,CP06-2897,
CP18-1685,#8ColdHardy,CP06-2897,biparental
CP18-1837,CP11-2013,CP10-1478,
CP18-1880,CP11-2013,CPCL99-2651,
CP18-2021,CP09-2392,CP84-1198,
CP18-2140,CP06-2400,CP07-2547,biparental
CP18-2222,CP99-1893,CP08-1553,
CP18-2248,BR97-2001,CP06-2042,biparental
CP18-2320,ISD30,CP06-2042,
CP18-2329,,,
CP18-2351,CG04-9694,CP08-1553,
CP18-2362,CG04-9694,CP08-1553,
CP18-2439,GX7,POLY09-26,biparental
CP18-4027,CP04-1844,CPCL02-8021,
CP18-4035,CP09-4153,CP09-4067,
CP18-4125,CP09-2392,CP08-1553,
CP18-4144,CP04-1935,POLY13-012,
CP18-4264,CP09-2392,CP06-2400,biparental
CP18-4270,CP09-2392,CP06-2400,
CP18-4475,CPCL97-2730,CP07-2547,
CP18-4485,CPCL05-1791,CP06-2400,
CP18-4523,CPCL05-1791,CP08-1553,
CP18-4642,CP06-2495,CP11-1314,biparental
CP18-4692,CP06-2897,CP11-2545,
CP18-4731,CP06-2897,CP11-2545,
CP19-1147,CP09-1132,CP03-1026,
CP19-1163,CP97-1777,CP08-1553,
CP19-1178,CP08-1553,POLY13-011,
CP19-1254,CPCL99-2651,CP07-2547,biparental
CP19-1435,#8ColdHardy,CP08-1995,biparental
CP19-1533,CPCL05-1201,CP97-1777,biparental
CP19-1795,CP10-1478,CP08-1553,
CP19-1801,Q196,CP08-1553,
CP19-1819,CP02-1564,CP84-1198,
CP19-1834,CP02-1564,CP84-1198,biparental
CP19-2031,CP12-1757,CP08-1553,
CP19-2051,CP12-1757,CP08-1553,
CP19-2108,CR03-0038,CP08-1553,
CP19-2136,CP13-1615,CP08-1553,
CP19-2168,CP11-2013,CP11-1314,biparental
CP19-2309,CP11-2412,CP06-2042,
CP19-2317,N37,CR04-0001,biparental
CP19-2338,CP07-2547,CR04-0001,biparental
CP19-2426,CP09-1262,CP11-1314,
CP19-4012,CP08-2400,POLY10-09,
CP19-4034,CP03-1912,CP97-1777,
CP19-4073,CL89-5189,POLY11-14,biparental
CP19-4099,CP03-1912,CP08- 1553,
CP19-4154,CP08-1913,CP08-1553,
CP19-4215,CP09-3033,CP09-4067,
CP19-4312,CP09-1874,CP01-2390,
CP19-4366,CPCL97-2730,CP09-4251,biparental
CP19-4398,CPCL97-0393,CP08-1183,
CP19-4436,CP06-2495,CP11-2324,biparental
CP19-4471,CL89-5189,CP05-1616,
CP19-4524,CP02-1564,CP07-2547,
CP19-4565,CP09-2392,CP84-1198,
CP19-4593,CP09-2392,CP84-1198,
CP19-4605,CP09-2392,CP84-1198,biparental
CP19-4681,,,
CP19-4755,CPCL05-1791,CP08-1553,biparental
CP19-4825,CP10-1620,CP11-2324,
CP20-1253,,,
CP20-1402,,,
CP20-1614,,,
CP20-1759,CP97-1777,ISD29,biparental
CP20-2442,,,
CP20-4099,,,
CP20-4262,,,
CP20-4626,CP01-2390,POLY13-013,biparental
CP21-1218,,,
CP21-1466,,,
CP21-1591,,,
CP21-1717,,,
CP21-1940,,,
CP21-2274,,,
CP21-2400,,,
CP21-2457,,,
CP21-2485,,,
CP22-1086,CP12-1443,CP08-1553,biparental
CP22-1120,CP17-2031,CP09-1952,biparental
CP22-1721,CP07-2320,CP12-2195,biparental
CP22-1979,CP15-2405,CP06-2042,biparental
CP22-2076,CP06-2400,CP00-1101,biparental
CP22-2378,CPCL02-0926,CP13-2497,biparental
CP22-2491,,,
CP22-4129,,,
CP22-4140,,,
CP22-4183,,,
CP22-4308,,,
CP22-4530,,,
CP22-4638,,,
CP27-0022,D74,US0785,biparental
CP27-0028,,,
CP27-0034,D74,US1694,biparental
CP27-0035,D74,US1694,biparental
CP27-0038,,,
CP27-0108,POJ2364,CP0726,biparental
CP27-0139,POJ2725,US1694,biparental
CP27-0156,CP0040,US1639,biparental
CP28-0044,Co281,CP27-0038,biparental
CP28-0116,CP27-0028,CP27-0038,biparental
CP29-0103,POJ2725,CP1165,biparental
CP29-0138,POJ2725,CP1165,biparental
CP29-0307,Co281,POJ2878,biparental
CP29-0320,Co281,CP27-0034,biparental
CP30-0024,CP27-0022,CP1165,biparental
CP31-0432,CP29-0307,POJ2878,biparental
CP31-0518,D74,28NG251,biparental
CP33-0030,CP28-0116,CP29-0138,biparental
CP33-0224,CP27-0139,CP31-0432,biparental
CP33-0229,CP27-0139,CP31-0432,biparental
CP33-0372,CP1165,CP28-0044,biparental
CP34-0079,CP33-0030,CP1161,biparental
CP34-0120,Co281,POJ2878,biparental
CP36-0105,Co281,CP1165,biparental
CP36-0138,Crystalina,28NG251,biparental
CP36-0211,POJ2725,Honey Sorghum,biparental
CP38-0034,Co421,CP27-0156,biparental
CP43-0047,Co281,CP1165,biparental
CP43-0064,CP36-0138,CP27-0108,biparental
CP43-0074,Co281,CP1165,biparental
CP44-0101,Co281,CP1165,biparental
CP44-0126,CP33-0229,CP33-0224,biparental
CP44-0154,Co281,US1694,biparental
CP44-0155,CP33-0229,CP33-0224,biparental
CP48-0103,CP29-0320,Co290,biparental
CP48-0126,CP36-0105,CP38-0034,biparental
CP50-0040,F36-0819,CP36-0105,biparental
CP51-0024,F36-0819,CP43-0074,biparental
CP52-0001,CP29-0103,CP33-0229,biparental
CP52-0011,CP34-0120,CP38-0034,biparental
CP52-0034,CP33-0372,CP43-0064,biparental
CP52-0068,CP29-0320,CP38-0034,biparental
CP52-0070,CP43-0064,CP27-0108,biparental
CP52-0114,CP33-0372,CP43-0064,biparental
CP53-0005,CP44-0126,CP30-0024,biparental
CP53-0016,F36-0819,CP48-0126,biparental
CP53-0017,F36-0819,CP48-0126,biparental
CP53-0018,F36-0819,CP48-0126,biparental
CP54-0378,,,
CP55-0038,CP43-0064,CP33-0224,biparental
CP56-0059,CL47-0083,CP34-0079,biparental
CP56-0063,CL47-0083,CP36-0105,biparental
CP57-0101,F36-0819,CP48-0126,biparental
CP57-0120,B45181,CP43-0074,biparental
CP57-0526,CP52-0114,US54-24-9,biparental
CP57-0603,CL47-0143,CL47-0083,biparental
CP57-0614,CL47-0143,CP53-0017,biparental
CP57-0621,CL47-0143,CP52-0011,biparental
CP59-0043,CP53-0018,CP52-0070,biparental
CP59-0050,CP44-0155,CP52-0034,biparental
CP60-0044,CP44-0155,CP48-0126,biparental
CP61-0037,CP48-0103,CP55-0038,biparental
CP61-0039,CP48-0103,CP55-0038,biparental
CP61-0084,CP48-0103,CP43-0064,biparental
CP62-0244,CP52-0001,CP53-0017,biparental
CP62-0258,CP53-0018,CP33-0224,biparental
CP62-0374,CP53-0018,CP33-0224,biparental
CP63-0361,CP52-0068,CP44-0101,biparental
CP63-0561,CP57-0101,US60-8-3,biparental
CP63-0571,CL54-0134,US60-8-3,biparental
CP63-0588,CL54-1910,CP57-0120,biparental
CP64-0307,CP52-0068,CP48-0103,biparental
CP64-0313,CP52-0001,CP48-0103,biparental
CP65-0357,CP52-0068,CP53-0017,biparental
CP66-0315,CP52-0068,CP53-0017,biparental
CP66-0346,CP44-0155,CP50-0040,biparental
CP67-0412,CP44-0155,CP53-0016,biparental
CP67-0424,CP59-0043,CP57-0526,biparental
CP67-0430,CP61-0037,CP62-0258,biparental
CP67Poly06,,,
CP68-1022,CL47-0083,CP57-0614,biparental
CP68-1067,CP52-0068,CP57-0603,biparental
CP69-0338,CP60-0044,CP53-0016,biparental
CP69-0380,CP51-0024,CP53-0005,biparental
CP70-0300,CP61-0084,CP57-0614,biparental
CP70-0321,CP61-0039,CP57-0614,biparental
CP70-0330,CP61-0039,CP57-0614,biparental
CP70-1133,CP56-0063,CP67Poly06,biparental
CP71-0318,CP52-0068,CP62-0258,biparental
CP71-0321,CP52-0068,CP62-0258,biparental
