"id","totalbiomass","ratooningability","averagebrix","observed"
"CP18-1129",2363.68,0.4477,19.9547,FALSE
"CP18-1224",2468.14,0.4434,19.7533,FALSE
"CP18-1486",2591.33,0.4428,19.836,FALSE
"CP18-1519",2277.97,0.4466,19.9643,FALSE
"CP18-1580",2653.17,0.4389,20.0469,FALSE
"CP18-1586",2720.5,0.4357,19.8041,FALSE
"CP18-1590",2720.5,0.4357,19.8041,FALSE
"CP18-1591",2720.5,0.4357,19.8041,FALSE
"CP18-1606",2635.66,0.4423,19.8769,FALSE
"CP18-1680",2367.83,0.4433,20.0288,FALSE
"CP18-1685",2327.3,0.4441,19.988,FALSE
"CP18-1880",2476.88,0.4452,20.054,FALSE
"CP18-2021",2407.58,0.4485,19.8236,FALSE
"CP18-2140",2646.73,0.4407,19.929,FALSE
"CP18-2222",2407.14,0.4537,19.9152,FALSE
"CP18-2248",2504.7,0.4426,20.2166,FALSE
"CP18-2320",2504.7,0.4426,20.2166,FALSE
"CP18-2329",2458.06,0.4435,20.0707,FALSE
"CP18-2351",2526.74,0.4512,20.0184,FALSE
"CP18-2362",2526.74,0.4512,20.0184,FALSE
"CP18-2439",2458.06,0.4435,20.0707,FALSE
"CP18-4027",2232.59,0.4503,19.8521,FALSE
"CP18-4035",2458.06,0.4435,20.0707,FALSE
"CP18-4125",2594.08,0.4536,20.0245,FALSE
"CP18-4144",2380.99,0.4434,19.8868,FALSE
"CP18-4264",2672.42,0.4417,20.0121,FALSE
"CP18-4270",2672.42,0.4417,20.0121,FALSE
"CP18-4475",2465.1,0.4444,19.8958,FALSE
"CP18-4485",2503.16,0.4421,19.8696,FALSE
"CP18-4523",2396.93,0.4547,19.882,FALSE
"CP18-4642",2591.33,0.4428,19.836,FALSE
"CP18-4692",2327.3,0.4441,19.988,FALSE
"CP18-4731",2327.3,0.4441,19.988,FALSE
"CP19-1147",2576.74,0.4471,19.908,FALSE
"CP19-1163",2465.4,0.4474,20.0542,FALSE
"CP19-1178",2526.74,0.4512,20.0184,FALSE
"CP19-1254",2498.41,0.4449,19.9936,FALSE
"CP19-1435",2586.85,0.4395,19.8687,FALSE
"CP19-1795",2475.12,0.4515,20.0423,FALSE
"CP19-1801",2526.74,0.4512,20.0184,FALSE
"CP19-1819",2205.37,0.4425,19.6877,FALSE
"CP19-1834",2205.37,0.4425,19.6877,FALSE
"CP19-2031",2455.73,0.4518,20.0566,FALSE
"CP19-2051",2455.73,0.4518,20.0566,FALSE
"CP19-2108",2526.74,0.4512,20.0184,FALSE
"CP19-2136",2454.81,0.447,19.9985,FALSE
"CP19-2309",2484.74,0.4419,20.1091,FALSE
"CP19-2317",2458.06,0.4435,20.0707,FALSE
