Accession,Female_Parent,Male_Parent,Cross_Type
CP06-2335,NG51-0144,03P24,biparental
CP06-2400,CP94-1100,03P29,biparental
CP06-2406,CP94-1100,03P29,biparental
CP06-2495,NA,unknown,NA
CP06-2664,CP01-2365,CP96-1252,biparental
CP06-2897,CP94-2095,CP84-1591,biparental
CP06-3025,CP92-1167,CP92-1167,self
CP07-1746,CP84-1591,CP80-1743,biparental
CP07-2046,NA,NA,NA
CP07-2460,CP00-1830,CL88-2747,biparental
CP07-2547,CP01-2390,CP00-1630,biparental
CP08-1139,CP01-2459,CP00-2188,biparental
CP08-1183,L03-0391,CPCL02-8021,biparental
CP08- 1553,NA,NA,NA
CP08-1553,CPCL00-4027,CP01-2390,biparental
CP08-1965,CP00-1301,HoCP01-0523,biparental
CP08-1995,CL96-4527,CP98-1325,biparental
CP08-2400,NA,NA,NA
CP08-2506,NA,NA,NA
CP09-1132,CPCL97-0393,CP00-2188,biparental
CP09-1262,CP02-1143,CP92-1167,biparental
CP09-1390,CP01-2459,CP00-2188,biparental
CP09-1874,CP03-1026,CPCL00-6756,biparental
CP09-2392,CP01-2390,POLY07-04,biparental
CP09-4067,NA,NA,NA
CP09-4153,NA,NA,NA
CP09-4267,NA,NA,NA
CP10-1208,CP01-2390,TCP98-4454,biparental
CP10-1478,CPCL02-0796,Mix 07 K,biparental
CP10-2002,CP98-1029,Mix 07 U,biparental
CP11-1314,CP05-1451,Mix 08-B,biparental
CP11-2013,CP01-2390,Mix 08-1X,biparental
CP11-2324,CP06-2614,CL93-1858,biparental
CP11-2412,CPCL99-2103,CP04-1252,biparental
CP11-2545,NA,NA,NA
CP12-1246,CL95-5255,male mix 09F,biparental
CP12-1757,CP08-2409,POLY10-09,biparental
CP12-1789,CP85-1491,POLY09-14,biparental
CP12-2195,CPCL05-1050,POLY09-23,biparental
CP34-0079,CP33-0030,CP1161,biparental
CP48-0120,CP36-0105,CP38-0034,biparental
CP56-0063,CL47-0083,CP36-0105,biparental
CP57-0614,CL47-0143,CP53-0017,biparental
CP66-1043,CP52-0001,CP57-0614,biparental
CP70-1133,CP56-0063,CP67Poly06,biparental
CP72-2086,CP62-0374,CP63-0588,biparental
CP77-0310,CP52-0068,L65-0069,biparental
CP77-0407,CP71-0421,CP66-0315,biparental
CP80-1743,CP72-2083,CP68-1067,biparental
CP81-1254,CP72-1210,CP78Poly08,biparental
CP84-1198,CP70-1133,CP72-2086,biparental
CP84-1322,CP52-0068,CP72-2086,biparental
CP84-1591,NA,NA,NA
CP85-1491,NA,NA,NA
CP88-1162,NA,NA,NA
CP88-1762,CP80-1743,CP85Poly06,biparental
CP89-2143,CP81-1254,CP72-2086,biparental
CP89-2377,NA,NA,NA
CP90-1538,NA,NA,NA
CP92-1167,CP84-1591,SP70-1143,biparental
CP94-1100,CP81-1238,CP88-2045,biparental
CP94-1200,CP83-1969,CP80-1743,biparental
CP94-1528,CP72-2086,91P13,biparental
CP94-2059,CP87-1475,CP85-1308,biparental
CP94-2095,CP87-1737,CP72-1210,biparental
CP95-1039,CP81-1238,CP84-1198,biparental
CP95-2318,CP87-1628,US90-1090,biparental
CP96-1252,CP90-1538,CP84-1198,biparental
CP96-1865,NA,NA,NA
CP97-1387,CP90-1533,CL61-0620,biparental
CP97-1777,CP90-1233,CP57-0603,biparental
CP98-1029,CP91-1980,CP94-1952,biparental
CP98-1325,CP90-1030,95P8,biparental
CP99-1893,CP87-1475,CP72-1210,biparental
CP99-1896,CP90-1204,CP90-1436,biparental
CPCL00-4027,NA,NA,NA
CPCL00-6756,NA,NA,NA
CPCL01-0271,NA,NA,NA
CPCL02-7610,CL90-4500,CL88-4730,biparental
CPCL02-8021,CP96-1252,CL89-5457,biparental
CPCL05-1050,CL86-5687,CL95-5255,biparental
CPCL05-1102,CL89-5189,CL88-4730,biparental
CPCL05-1201,CL87-2882,CL93-2679,biparental
CPCL05-1791,CP96-1252,CL90-4725,biparental
CPCL06-3332,CL90-5017,CP88-1762,biparental
CPCL06-3458,CP96-1252,CL93-5185,biparental
CPCL97-0393,NA,NA,NA
CPCL97-2730,NA,NA,NA
CPCL99-2103,NA,NA,NA
CPCL99-2651,NA,NA,NA
CR04-0001,NA,NA,NA
GA59-0024,NA,NA,NA
Ho06-0530,HoCP91-0555,LCP85-0384,biparental
Ho06-9607,NA,NA,NA
Ho06-9610,Ho90-0018,01P3,biparental
Ho07-0613,HoCP00-0905,HoCP96-0540,biparental
Ho07-0617,HoCP00-0940,HoCP99-0825,biparental
Ho09-0824,HoCP99-0825,HoCP96-0540,biparental
Ho10-0919,L99-0233,04P02,biparental
Ho11-0556,HoCP96-0540,04P02,biparental
Ho12-0630,HoCP05-0918,HoCP96-0540,biparental
Ho12-9409,HoCP00-0932,Ho06-9017,biparental
Ho94-0861,CP65-0357,Ho82-0044,biparental
HoCP01-0517,HoCP92-0631,CP84-1198,biparental
HoCP01-0523,TCP85-3374,HoCP85-0845,biparental
HoCP01-0553,LCP85-0384,LCP86-0454,biparental
HoCP02-0623,CP89-0831,LCP85-0384,biparental
HoCP02-0625,CP89-0831,LCP85-0384,biparental
HoCP04-0838,HoCP85-0845,LCP85-0384,biparental
HoCP04-0852,HoCP92-0674,Ho94-0861,biparental
